time/total_timesteps,train/ent_coef_loss,train/actor_loss,time/episodes,train/ent_coef,train/n_updates,train/learning_rate,time/fps,time/time_elapsed,train/critic_loss,eval/mean_ep_length,eval/mean_reward
272,-4.593804359436035,4.154576301574707,4,0.09766533225774765,85,0.0003,8,31,16.330677032470703,,
654,-4.278329849243164,2.4560885429382324,8,0.09361125528812408,276,0.0003,9,68,3.1314382553100586,,
907,-5.051602363586426,3.907099723815918,12,0.09005765616893768,403,0.0003,9,93,2.474179744720459,,
1257,-5.528186798095703,4.655987739562988,16,0.08554355055093765,578,0.0003,9,126,2.9007034301757812,,
1521,-5.599211692810059,5.354482650756836,20,0.08233631402254105,710,0.0003,10,149,3.2300446033477783,,
2045,-2.2753710746765137,5.841818809509277,24,0.0769161805510521,972,0.0003,10,199,2.8236002922058105,,
2425,-2.5730204582214355,6.4595537185668945,28,0.07470428943634033,1162,0.0003,10,239,2.424744129180908,,
2560,-3.1177802085876465,6.4968647956848145,32,0.07393922656774521,1229,0.0003,10,254,2.70707106590271,,
2835,-3.339970588684082,6.638162612915039,36,0.07201594859361649,1367,0.0003,10,281,2.1714465618133545,,
3130,-0.8969094753265381,5.8243489265441895,40,0.07075954228639603,1514,0.0003,10,308,2.2722434997558594,,
3243,0.3677712678909302,6.197495937347412,44,0.0704653337597847,1571,0.0003,10,321,2.4648594856262207,,
3422,-1.4471099376678467,6.578348159790039,48,0.07002054899930954,1660,0.0003,10,338,2.635981559753418,,
3521,0.7017015218734741,7.283756256103516,52,0.0697120875120163,1710,0.0003,9,354,3.7191927433013916,,
3645,-1.3146251440048218,6.419350624084473,56,0.06931991875171661,1772,0.0003,9,368,2.8616831302642822,,
3755,-1.2470046281814575,5.874914169311523,60,0.0688726156949997,1827,0.0003,9,382,3.2249019145965576,,
3834,-1.1246191263198853,7.409496784210205,64,0.06854717433452606,1866,0.0003,9,392,3.596289873123169,,
3920,-1.382140874862671,6.627457618713379,68,0.06822892278432846,1909,0.0003,9,402,2.739335298538208,,
4014,-1.5038821697235107,6.41340446472168,72,0.06790117174386978,1956,0.0003,9,412,3.0751864910125732,,
4155,-1.0178030729293823,7.03944206237793,76,0.06727983057498932,2027,0.0003,9,431,2.490387439727783,,
4299,-1.6919362545013428,6.803402900695801,80,0.06665913015604019,2099,0.0003,9,445,3.130751609802246,,
4438,-0.5144544839859009,7.222989082336426,84,0.06605418026447296,2168,0.0003,9,459,2.2111053466796875,,
4560,-1.1412467956542969,5.965553283691406,88,0.06567353755235672,2229,0.0003,9,471,4.758906364440918,,
4694,-0.602384090423584,7.611532211303711,92,0.06521910429000854,2296,0.0003,9,486,3.4730520248413086,,
4877,-1.391456961631775,7.257559776306152,96,0.0645769014954567,2388,0.0003,9,503,4.101775169372559,,
4939,0.011876031756401062,6.312748908996582,100,0.06438105553388596,2419,0.0003,9,517,4.828421115875244,,
5264,-1.0634815692901611,5.274343490600586,104,0.06349078565835953,2581,0.0003,9,544,4.676698684692383,,
5346,-1.3311971426010132,6.5002336502075195,108,0.06319619715213776,2622,0.0003,9,555,4.30679988861084,,
5505,-1.013317346572876,5.937497138977051,112,0.06266506016254425,2702,0.0003,9,571,3.51088285446167,,
5689,-0.8183283805847168,5.611422538757324,116,0.06197495386004448,2794,0.0003,9,588,5.015630722045898,,
6014,-0.4333030581474304,6.303761959075928,120,0.060584962368011475,2956,0.0003,9,618,5.4074578285217285,,
6375,-0.6258341073989868,5.1663818359375,124,0.059244126081466675,3137,0.0003,9,652,4.40694522857666,,
6685,-0.8273196816444397,4.746518611907959,128,0.05822836980223656,3292,0.0003,9,690,6.8903608322143555,,
8583,-0.16833257675170898,4.599429130554199,132,0.058651361614465714,4241,0.0003,10,850,6.331734657287598,,
10610,0.13294707238674164,3.076709032058716,136,0.06401136517524719,5254,0.0003,10,1016,3.435947895050049,,
13623,0.0051015689969062805,1.6703989505767822,140,0.07030326128005981,6761,0.0003,10,1267,7.963675022125244,,
16393,0.23083555698394775,0.16524328291416168,144,0.07040605694055557,8146,0.0003,10,1493,2.9701833724975586,,
17126,0.22760528326034546,0.11287306249141693,148,0.06890041381120682,8512,0.0003,11,1553,1.7325671911239624,,
17888,0.49680185317993164,-1.107256531715393,152,0.06807485222816467,8893,0.0003,11,1620,3.0674633979797363,,
18903,-0.13814693689346313,0.11962366104125977,156,0.066366046667099,9401,0.0003,10,1718,3.509849786758423,,
20214,-0.2844141721725464,-1.530468225479126,160,0.06391648948192596,10056,0.0003,10,1841,2.063321828842163,,
20456,0.061429813504219055,-2.4916205406188965,164,0.06311237812042236,10177,0.0003,10,1866,2.2594521045684814,,
21275,-0.3813841938972473,-1.143962025642395,168,0.06201682612299919,10587,0.0003,10,1942,8.456281661987305,,
21771,-0.3859441876411438,-2.4198641777038574,172,0.06197957694530487,10835,0.0003,10,1987,2.6666786670684814,,
22248,0.04426133632659912,-1.3458420038223267,176,0.06270697712898254,11073,0.0003,10,2038,2.604842185974121,,
24538,0.548673152923584,-2.5750551223754883,180,0.0638919472694397,12218,0.0003,10,2245,1.4823817014694214,,
25166,-0.12011286616325378,-5.05240535736084,184,0.06363388895988464,12532,0.0003,10,2301,1.8095468282699585,,
26364,-0.5135638117790222,-4.602301597595215,188,0.06318065524101257,13131,0.0003,10,2415,1.9540650844573975,,
26866,0.06581608951091766,-3.651167869567871,192,0.06123719736933708,13382,0.0003,10,2465,2.3237338066101074,,
28592,0.2720179557800293,-3.752567768096924,196,0.060907453298568726,14245,0.0003,10,2639,2.292968511581421,,
30165,-0.7598870992660522,-4.789181232452393,200,0.06266313791275024,15032,0.0003,10,2799,2.0640029907226562,,
32229,0.1052887886762619,-5.034653663635254,204,0.062146589159965515,16064,0.0003,10,3005,2.172234535217285,,
33650,0.22138899564743042,-4.575939178466797,208,0.0638251081109047,16774,0.0003,10,3144,1.8925487995147705,,
36466,0.29801714420318604,-5.951805114746094,212,0.06836017966270447,18182,0.0003,10,3411,2.807478427886963,,
38752,-0.5679376125335693,-6.871098518371582,216,0.07151028513908386,19325,0.0003,10,3626,1.8066916465759277,,
41358,-0.07203252613544464,-6.592904090881348,220,0.07268382608890533,20628,0.0003,10,3868,2.3040027618408203,,
43729,-0.21043573319911957,-7.15863037109375,224,0.07383925467729568,21814,0.0003,10,4101,2.89833664894104,,
46088,0.14462842047214508,-8.182422637939453,228,0.07588052749633789,22993,0.0003,10,4328,1.4056328535079956,,
48821,-0.4351973533630371,-8.632457733154297,232,0.07880003750324249,24360,0.0003,10,4577,2.9774413108825684,,
51743,0.08641934394836426,-8.343741416931152,236,0.07819255441427231,25821,0.0003,10,4859,4.064924240112305,,
54419,0.02863222360610962,-9.22539234161377,240,0.07857076823711395,27159,0.0003,10,5113,1.9235554933547974,,
56308,-0.008015967905521393,-9.694437026977539,244,0.08031580597162247,28103,0.0003,10,5293,2.4733333587646484,,
58446,-0.2807513177394867,-9.589191436767578,248,0.08186523616313934,29172,0.0003,10,5497,1.4882936477661133,,
61848,0.44453397393226624,-10.939268112182617,252,0.08248033374547958,30873,0.0003,10,5815,1.593837857246399,,
64714,-0.04488435387611389,-10.837302207946777,256,0.08420895040035248,32306,0.0003,10,6086,1.391784906387329,,
67732,0.1251477152109146,-9.920162200927734,260,0.08390932530164719,33815,0.0003,10,6360,1.790804147720337,,
70110,0.6545420289039612,-12.285476684570312,264,0.08739683777093887,35004,0.0003,10,6583,2.7134647369384766,,
73462,0.29149460792541504,-11.45103645324707,268,0.08761045336723328,36680,0.0003,10,6904,2.4816176891326904,,
76587,0.16944649815559387,-12.656309127807617,272,0.08765418082475662,38243,0.0003,10,7196,1.6290361881256104,,
79276,0.24559135735034943,-12.26283073425293,276,0.09128841012716293,39587,0.0003,10,7469,1.5843228101730347,,
83276,-0.006258085370063782,-13.56817626953125,280,0.09026801586151123,41587,0.0003,10,7851,1.686706781387329,,
85602,0.11134454607963562,-12.190156936645508,284,0.09361481666564941,42750,0.0003,10,8096,1.4740495681762695,,
88159,0.3446493148803711,-12.553403854370117,288,0.09365727007389069,44029,0.0003,10,8352,1.5947623252868652,,
91297,0.20891529321670532,-13.557585716247559,292,0.09489502012729645,45598,0.0003,10,8651,1.6842576265335083,,
93437,-0.003984816372394562,-13.906097412109375,296,0.092854343354702,46668,0.0003,10,8856,2.962559461593628,,
95624,0.04901112616062164,-13.496227264404297,300,0.09324312210083008,47761,0.0003,10,9088,3.1198315620422363,,
99624,-0.14333513379096985,-16.243854522705078,304,0.09484900534152985,49761,0.0003,10,9427,0.8966609239578247,,
100000,-0.26947730779647827,-13.594118118286133,,0.09552707523107529,49949,0.0003,,,1.6388819217681885,802.6,1742.239898281038
104000,-0.7889940738677979,-12.848270416259766,308,0.09578638523817062,51949,0.0003,10,10131,2.916867256164551,,
108000,0.273135781288147,-13.983504295349121,312,0.09259206056594849,53949,0.0003,10,10483,1.9858181476593018,,
112000,0.36813831329345703,-14.792659759521484,316,0.09324251860380173,55949,0.0003,10,10821,0.9557244181632996,,
115014,-0.5226759910583496,-13.419305801391602,320,0.09524794667959213,57456,0.0003,10,11105,1.3521630764007568,,
117270,-0.17204520106315613,-14.54537582397461,324,0.09288603812456131,58584,0.0003,10,11323,1.4127005338668823,,
119522,-0.18673744797706604,-14.041947364807129,328,0.09295812994241714,59710,0.0003,10,11540,2.3706777095794678,,
121687,-0.5924453735351562,-14.580888748168945,332,0.0930495336651802,60793,0.0003,10,11746,0.986413300037384,,
124654,0.21932333707809448,-15.127096176147461,336,0.0921580120921135,62276,0.0003,10,12029,4.747949123382568,,
128234,0.3292732536792755,-15.79106330871582,340,0.0929894968867302,64066,0.0003,10,12374,1.6151999235153198,,
132035,0.3045390844345093,-14.800212860107422,344,0.09512350708246231,65967,0.0003,10,12736,1.4526464939117432,,
134713,-0.38819167017936707,-14.871037483215332,348,0.09327847510576248,67306,0.0003,10,12973,0.9545754790306091,,
136945,0.5158331990242004,-14.183847427368164,352,0.094247005879879,68422,0.0003,10,13175,2.959763288497925,,
138834,-0.07776515930891037,-14.596965789794922,356,0.0940764844417572,69366,0.0003,10,13332,1.7213656902313232,,
140284,-0.8444333076477051,-15.014472961425781,360,0.0952877402305603,70091,0.0003,10,13458,4.689720153808594,,
142612,-0.27979978919029236,-14.379904747009277,364,0.09762920439243317,71255,0.0003,10,13655,1.3045852184295654,,
144103,0.34927237033843994,-15.983732223510742,368,0.09682795405387878,72001,0.0003,10,13788,2.5012354850769043,,
147057,0.0639076977968216,-16.252519607543945,372,0.0977780744433403,73478,0.0003,10,14081,2.280339479446411,,
149605,-0.12412876635789871,-14.670963287353516,376,0.09607571363449097,74752,0.0003,10,14332,1.0886964797973633,,
152531,-0.18375042080879211,-16.410831451416016,380,0.09777793288230896,76215,0.0003,10,14630,1.714499592781067,,
153651,0.050165608525276184,-16.293842315673828,384,0.0960407704114914,76775,0.0003,10,14745,1.0912177562713623,,
156678,-0.37826627492904663,-15.885897636413574,388,0.09642543643712997,78288,0.0003,10,15054,2.3495535850524902,,
160678,0.08526642620563507,-14.623947143554688,392,0.09384216368198395,80288,0.0003,10,15464,1.9658324718475342,,
163688,-0.07236811518669128,-15.399471282958984,396,0.09335792064666748,81793,0.0003,10,15749,1.1876978874206543,,
166972,-0.4227001965045929,-15.226932525634766,400,0.09578827768564224,83435,0.0003,10,16027,1.3361471891403198,,
170291,-0.4507744312286377,-15.00473403930664,404,0.09453975409269333,85095,0.0003,10,16313,1.4139522314071655,,
173456,-0.35361552238464355,-16.107337951660156,408,0.09640257060527802,86677,0.0003,10,16590,1.1111842393875122,,
176310,0.21250376105308533,-16.05829620361328,412,0.09790079295635223,88104,0.0003,10,16836,1.005267858505249,,
179825,0.23671719431877136,-15.98855972290039,416,0.09682167321443558,89862,0.0003,10,17140,1.5231999158859253,,
183149,-0.3838486075401306,-16.134723663330078,420,0.0960032194852829,91524,0.0003,10,17469,1.5332541465759277,,
186080,-0.4640811085700989,-15.920306205749512,424,0.09996988624334335,92989,0.0003,10,17714,1.6617217063903809,,
189717,0.043097272515296936,-15.818914413452148,428,0.10108812898397446,94808,0.0003,10,18015,1.4559917449951172,,
192290,0.009523056447505951,-15.142295837402344,432,0.10155939310789108,96094,0.0003,10,18230,1.9233086109161377,,
195669,0.11173563450574875,-17.34676170349121,436,0.10354378074407578,97784,0.0003,10,18517,1.1266438961029053,,
198987,0.020443759858608246,-15.646164894104004,440,0.10232364386320114,99443,0.0003,10,18781,2.3805856704711914,,
200000,0.11625862121582031,-15.477851867675781,,0.1034257709980011,99949,0.0003,,,0.8557621240615845,1000.0,2740.948071975028
203000,-0.11459889262914658,-14.770490646362305,444,0.1061517596244812,101449,0.0003,10,19555,0.9720444679260254,,
205911,-0.05079168081283569,-16.557723999023438,448,0.10306471586227417,102905,0.0003,10,19824,1.1749927997589111,,
209706,0.19614070653915405,-14.969902992248535,452,0.1015293300151825,104802,0.0003,10,20188,1.297019362449646,,
213706,-0.45777422189712524,-15.076555252075195,456,0.10112079232931137,106802,0.0003,10,20561,0.955307126045227,,
217706,0.1830459088087082,-16.230789184570312,460,0.09967325627803802,108802,0.0003,10,20940,1.9093245267868042,,
221252,-0.22054719924926758,-14.899807929992676,464,0.10073832422494888,110575,0.0003,10,21276,1.6617616415023804,,
224110,0.3049176335334778,-15.600103378295898,468,0.10184469074010849,112004,0.0003,10,21511,1.5054326057434082,,
227291,-0.5098419189453125,-15.721277236938477,472,0.10604699701070786,113595,0.0003,10,21775,1.0183619260787964,,
231265,0.14922386407852173,-16.556324005126953,476,0.10376573354005814,115582,0.0003,10,22104,0.7531059384346008,,
234811,0.3364870250225067,-16.694515228271484,480,0.10078658908605576,117355,0.0003,10,22399,1.0076324939727783,,
238811,0.1260475367307663,-14.972063064575195,484,0.10391689836978912,119355,0.0003,10,22733,2.093566656112671,,
241968,0.3157065510749817,-15.313419342041016,488,0.10562550276517868,120933,0.0003,10,22994,0.8988969326019287,,
245968,0.3708217144012451,-16.8193302154541,492,0.10763584822416306,122933,0.0003,10,23366,1.499363660812378,,
249361,0.3816140294075012,-15.782504081726074,496,0.10791747272014618,124630,0.0003,10,23678,3.756640672683716,,
251384,-0.009233936667442322,-14.639666557312012,500,0.10577718913555145,125641,0.0003,10,23873,2.8738982677459717,,
254564,-0.12786802649497986,-15.732982635498047,504,0.10726484656333923,127231,0.0003,10,24169,1.2412199974060059,,
258564,-0.0244227796792984,-16.597686767578125,508,0.10824370384216309,129231,0.0003,10,24529,1.2473852634429932,,
262316,-0.044420212507247925,-17.0479793548584,512,0.1045970544219017,131107,0.0003,10,24896,2.0392725467681885,,
265480,-0.05320882797241211,-17.31698226928711,516,0.10709453374147415,132689,0.0003,10,25195,1.9401092529296875,,
269122,-0.17560242116451263,-15.973648071289062,520,0.10585875064134598,134510,0.0003,10,25546,1.6421419382095337,,
273122,-0.24489516019821167,-17.524694442749023,524,0.10960927605628967,136510,0.0003,10,25914,2.486133337020874,,
276146,0.6087023615837097,-17.362445831298828,528,0.10496532917022705,138022,0.0003,10,26195,3.5163180828094482,,
279162,0.06258287280797958,-16.975317001342773,532,0.10840243101119995,139530,0.0003,10,26475,0.8774850368499756,,
283162,0.00019097328186035156,-16.971935272216797,536,0.10778214037418365,141530,0.0003,10,26850,1.0718886852264404,,
287162,0.5719980001449585,-17.68233871459961,540,0.10849424451589584,143530,0.0003,10,27209,4.015858173370361,,
291162,0.2942722737789154,-17.437347412109375,544,0.11012282967567444,145530,0.0003,10,27532,1.027634620666504,,
295162,0.30496975779533386,-18.069303512573242,548,0.10760962218046188,147530,0.0003,10,27868,3.2133383750915527,,
299162,-0.09729984402656555,-16.902952194213867,552,0.11125823110342026,149530,0.0003,10,28200,4.98053503036499,,
300000,-0.04486013203859329,-16.166322708129883,,0.10775390267372131,149949,0.0003,,,2.558654308319092,1000.0,2293.5496136036354
304000,0.22895337641239166,-17.101303100585938,556,0.11110914498567581,151949,0.0003,10,28998,1.1298370361328125,,
308000,0.48539048433303833,-18.05615234375,560,0.11220232397317886,153949,0.0003,10,29373,1.2586479187011719,,
311602,0.19887509942054749,-17.03665542602539,564,0.11161685734987259,155750,0.0003,10,29727,1.592345118522644,,
315258,-0.00684773176908493,-16.631303787231445,568,0.11124034970998764,157578,0.0003,10,30083,0.8451510667800903,,
319258,-0.5517966747283936,-17.317440032958984,572,0.10916852205991745,159578,0.0003,10,30470,1.5380440950393677,,
322078,0.42635923624038696,-17.864219665527344,576,0.10662467777729034,160988,0.0003,10,30734,0.8266948461532593,,
324457,-0.042661573737859726,-18.264965057373047,580,0.10599351674318314,162178,0.0003,10,30953,1.1148154735565186,,
327236,0.23515070974826813,-17.203433990478516,584,0.10813018679618835,163567,0.0003,10,31213,4.020848274230957,,
331171,0.0792727991938591,-16.75124740600586,588,0.10934515297412872,165535,0.0003,10,31592,0.9343981146812439,,
335171,0.7421005964279175,-17.927108764648438,592,0.10946370661258698,167535,0.0003,10,31984,2.512089729309082,,
339119,0.20945502817630768,-18.003002166748047,596,0.1101473867893219,169509,0.0003,10,32332,2.6969008445739746,,
342681,0.08377251029014587,-18.144203186035156,600,0.10737720131874084,171290,0.0003,10,32651,0.7345108985900879,,
346577,0.17115935683250427,-18.07402801513672,604,0.10688558965921402,173238,0.0003,10,33007,1.0288437604904175,,
350577,0.057005614042282104,-17.794261932373047,608,0.10788413882255554,175238,0.0003,10,33399,0.7924547791481018,,
352612,-0.10928937047719955,-18.31328582763672,612,0.10657976567745209,176255,0.0003,10,33590,0.9866591691970825,,
355623,0.12560060620307922,-17.017745971679688,616,0.10760888457298279,177761,0.0003,10,33890,4.226437568664551,,
359623,-0.6232426762580872,-17.462007522583008,620,0.10900203883647919,179761,0.0003,10,34286,0.7720153331756592,,
362464,-0.1642972081899643,-18.402935028076172,624,0.10771653056144714,181181,0.0003,10,34571,0.8271129727363586,,
366464,0.019648820161819458,-19.429115295410156,628,0.10692892223596573,183181,0.0003,10,34958,4.58384895324707,,
370467,-0.45695143938064575,-18.25775909423828,632,0.10518945008516312,185183,0.0003,10,35350,0.8358824253082275,,
374467,0.12370168417692184,-18.323396682739258,636,0.10270664840936661,187183,0.0003,10,35739,0.658085823059082,,
378467,0.2604350447654724,-17.96178436279297,640,0.10163644701242447,189183,0.0003,10,36137,0.8613148927688599,,
382467,-0.05647837370634079,-18.181137084960938,644,0.10426200181245804,191183,0.0003,10,36530,0.8060158491134644,,
385486,0.17018412053585052,-19.019092559814453,648,0.10438830405473709,192692,0.0003,10,36822,1.6998209953308105,,
389486,0.2666725814342499,-19.038116455078125,652,0.10656170547008514,194692,0.0003,10,37201,1.9703493118286133,,
393486,0.34281790256500244,-18.66812515258789,656,0.10151278972625732,196692,0.0003,10,37592,1.048821210861206,,
397022,-0.30877038836479187,-17.126209259033203,660,0.10193551331758499,198460,0.0003,10,37938,1.2655861377716064,,
400000,-0.46399131417274475,-17.2123966217041,,0.10132044553756714,199949,0.0003,,,1.2466380596160889,1000.0,2951.6876166002885
400031,0.07890410721302032,-18.560630798339844,664,0.10098293423652649,199965,0.0003,10,38668,8.112818717956543,,
404031,0.22598795592784882,-18.230525970458984,668,0.10086575150489807,201965,0.0003,10,39034,0.4883577227592468,,
407135,0.42994844913482666,-18.211620330810547,672,0.09928151965141296,203517,0.0003,10,39322,1.0391936302185059,,
410457,-0.18289153277873993,-18.335723876953125,676,0.10146251320838928,205178,0.0003,10,39657,1.6137927770614624,,
414457,-0.24566110968589783,-18.914905548095703,680,0.10378780215978622,207178,0.0003,10,39989,3.6188950538635254,,
418457,-0.0790795311331749,-18.87228012084961,684,0.10407029837369919,209178,0.0003,10,40316,0.8173197507858276,,
422457,0.1917700618505478,-19.142253875732422,688,0.10046812891960144,211178,0.0003,10,40647,0.9077204465866089,,
426457,0.5114171504974365,-19.024845123291016,692,0.1072491928935051,213178,0.0003,10,40971,4.502655029296875,,
430457,-0.09770779311656952,-16.699501037597656,696,0.10359857976436615,215178,0.0003,10,41335,1.4306514263153076,,
434457,0.10821536183357239,-18.27130126953125,700,0.10155215859413147,217178,0.0003,10,41685,1.9203500747680664,,
438457,-0.2673729658126831,-18.392929077148438,704,0.09902893751859665,219178,0.0003,10,42072,0.685880184173584,,
442457,0.30826932191848755,-18.271968841552734,708,0.09882435947656631,221178,0.0003,10,42470,3.3507678508758545,,
446457,-0.2200895994901657,-19.131942749023438,712,0.09657294303178787,223178,0.0003,10,42851,0.8686544299125671,,
450457,-0.0976095199584961,-18.404678344726562,716,0.10035216808319092,225178,0.0003,10,43225,0.5738478899002075,,
454457,0.4477718770503998,-19.629289627075195,720,0.09924175590276718,227178,0.0003,10,43598,1.1846630573272705,,
458457,-0.10810497403144836,-17.81223487854004,724,0.09736588597297668,229178,0.0003,10,43968,0.6923068165779114,,
462457,0.5127261281013489,-19.412822723388672,728,0.09778408706188202,231178,0.0003,10,44343,0.9640603065490723,,
466457,0.0247209370136261,-18.422672271728516,732,0.0979648232460022,233178,0.0003,10,44716,4.260525703430176,,
469475,-0.14100250601768494,-18.809795379638672,736,0.09601002186536789,234687,0.0003,10,44997,0.6653897166252136,,
473475,-0.3750118613243103,-18.110042572021484,740,0.09777166694402695,236687,0.0003,10,45369,2.837301254272461,,
477475,0.03450426459312439,-18.343120574951172,744,0.09808506071567535,238687,0.0003,10,45749,2.548002243041992,,
481475,-0.4094831347465515,-20.17084503173828,748,0.09586992114782333,240687,0.0003,10,46135,1.3623403310775757,,
485475,0.41481447219848633,-20.18852996826172,752,0.09787999838590622,242687,0.0003,10,46517,1.864336609840393,,
489341,0.08728459477424622,-19.69652557373047,756,0.09481170028448105,244620,0.0003,10,46880,0.6873326301574707,,
493100,-0.03487834334373474,-21.028614044189453,760,0.09668342769145966,246499,0.0003,10,47236,0.8037713766098022,,
497100,0.4582209587097168,-19.68038558959961,764,0.10030864924192429,248499,0.0003,10,47612,1.7117342948913574,,
500000,0.15298128128051758,-17.703378677368164,,0.09726773947477341,249949,0.0003,,,1.709242820739746,1000.0,3001.2441531877967
501000,-0.2323738932609558,-18.436885833740234,768,0.09665480256080627,250449,0.0003,10,48427,4.459983825683594,,
505000,-0.15391796827316284,-18.15943145751953,772,0.0967460572719574,252449,0.0003,10,48797,2.3110299110412598,,
509000,-0.6921923160552979,-17.465879440307617,776,0.0941675454378128,254449,0.0003,10,49176,0.49554145336151123,,
513000,0.07186278700828552,-20.20425796508789,780,0.09144523739814758,256449,0.0003,10,49558,0.8183959722518921,,
517000,-0.33338141441345215,-19.050464630126953,784,0.09410225600004196,258449,0.0003,10,49923,3.3086304664611816,,
520018,0.6525837182998657,-20.628162384033203,788,0.09459751844406128,259958,0.0003,10,50208,0.6789461374282837,,
